no_keluarga,jumlah_indikator,kecamatan,kelurahan,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,jenis_kelamin,status_kawin,umur,ijazah_tertinggi,status_pekerjaan,jenis_lantai,jenis_dinding,jenis_atap,sumber_penerangan,daya_listrik,fasilitas_bab,sumber_air,bahan_bakar,bantuan_sembako,bantuan_pkh,bantuan_blt,subsidi_listrik,subsidi_lpg,bantuan_pemda,bantuan_non_pemerintah,jenis_disabilitas,butuh_pangan,butuh_sandang,butuh_kesehatan,butuh_pendidikan,butuh_dokumen,status_keluarga
38,4,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,2,1,8,,,6,1,3,1,3,1,02,04,2,2,2,2,2,2,1,0,1,2,1,"4,1",0,3
39,2,bontang_selatan,bontang_lestari,Tidak ada nama Kepala Keluarga,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,2,2,50,8,,6,1,3,1,2,1,03,04,2,1,2,1,2,2,2,0,1,1,3,0,3,4
39,1,bontang_selatan,bontang_lestari,Tidak ada nama Kepala Keluarga,Tidak,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,,,,,,6,1,3,1,2,1,03,04,2,1,2,1,2,2,2,,,,,,,4
39,2,bontang_selatan,bontang_lestari,Tidak ada nama Kepala Keluarga,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,1,1,17,2,3,6,1,3,1,2,1,03,04,2,1,2,1,2,2,2,0,1,1,3,0,0,4
40,3,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,2,2,58,8,,6,1,3,1,1,1,03,04,1,1,2,1,1,2,2,0,1,2,0,0,0,3
40,3,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,1,1,,,,6,1,3,1,1,1,03,04,1,1,2,1,1,2,2,0,2,2,0,0,0,3
40,3,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,1,1,17,,,6,1,3,1,1,1,03,04,1,1,2,1,1,2,2,0,1,1,1,0,0,3
40,4,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,2,2,58,8,,6,1,3,1,1,1,03,04,1,1,2,1,1,2,2,0,2,2,0,0,0,3
41,3,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,2,1,29,4,,2,1,3,1,1,3,03,05,1,2,1,1,1,2,2,0,1,2,1,0,0,3
41,3,bontang_selatan,tanjung_laut,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,1,1,21,,,2,1,3,1,1,3,03,05,1,2,1,1,1,2,2,0,1,2,1,5,0,3
